Release,Class,NSmells
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LazySchemaFactory.java,12
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/LocalConstraint.java,28
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/NameSet.java,8
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/PrimaryKey.java,4
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schema.java,35
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaFactory.java,2
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGenerator.java,122
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaGroup.java,55
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaParser.java,5
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaSerializer.java,8
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SchemaTool.java,188
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Schemas.java,39
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Sequence.java,11
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/SimpleDriverDataSource.java,16
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Table.java,87
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/TableSchemaFactory.java,41
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/Unique.java,1
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaParser.java,51
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/schema/XMLSchemaSerializer.java,82
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractResult.java,33
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AbstractSQLServerDictionary.java,7
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/AccessDictionary.java,2
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DB2Dictionary.java,5
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionary.java,379
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DBDictionaryFactory.java,36
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/DerbyDictionary.java,2
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/EmpressDictionary.java,15
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/FoxProDictionary.java,8
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/HSQLDictionary.java,19
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InformixDictionary.java,14
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/InterbaseDictionary.java,2
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JDataStoreDictionary.java,3
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Join.java,10
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSet.java,59
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/JoinSyntaxes.java,6
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Joins.java,9
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/LogicalUnion.java,51
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MergedResult.java,15
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/MySQLDictionary.java,7
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/OracleDictionary.java,138
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PointbaseDictionary.java,4
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PostgresDictionary.java,18
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/PrimaryRow.java,43
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Raw.java,1
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Result.java,78
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/ResultSetResult.java,22
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/Row.java,75
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowImpl.java,89
0.9.6,openjpa-jdbc/src/main/java/org/apache/openjpa/jdbc/sql/RowManager.java,5
